driver_id,vendor_id,date,online,offline,createdAt
5a2cd74cf8e3097a2fa16451,5810a31e53358eb35bae9d8d,2017-12-11,08:56:41.144Z,,2017-12-11T08:56:41.145Z
5a2cd74cf8e3097a2fa16451,5810a31e53358eb35bae9d8d,2017-12-11,08:59:27.133Z,,2017-12-11T08:59:27.134Z
5a2cd74cf8e3097a2fa16451,5810a31e53358eb35bae9d8d,2017-12-11,09:13:33.034Z,,2017-12-11T09:13:33.035Z
5a2cd74cf8e3097a2fa16451,5810a31e53358eb35bae9d8d,2017-12-11,09:16:15.614Z,,2017-12-11T09:16:15.615Z
5a2cd74cf8e3097a2fa16451,5810a31e53358eb35bae9d8d,2017-12-11,09:29:31.405Z,,2017-12-11T09:29:31.405Z
5a2cd74cf8e3097a2fa16451,5810a31e53358eb35bae9d8d,2017-12-11,09:29:33.487Z,,2017-12-11T09:29:33.487Z
5a2cd74cf8e3097a2fa16451,5810a31e53358eb35bae9d8d,2017-12-11,11:01:41.146Z,,2017-12-11T11:01:41.149Z
5a2cd74cf8e3097a2fa16451,5810a31e53358eb35bae9d8d,2017-12-11,14:23:54.274Z,,2017-12-11T14:23:54.274Z
5a2cd74cf8e3097a2fa16451,5810a31e53358eb35bae9d8d,2017-12-11,15:13:51.806Z,,2017-12-11T15:13:51.807Z
5a2cd74cf8e3097a2fa16451,5810a31e53358eb35bae9d8d,2017-12-12,02:58:41.052Z,,2017-12-12T02:58:41.052Z
5a2cd74cf8e3097a2fa16451,5810a31e53358eb35bae9d8d,2017-12-12,03:22:32.587Z,,2017-12-12T03:22:32.589Z
5a2cd74cf8e3097a2fa16451,5810a31e53358eb35bae9d8d,2017-12-12,08:46:38.540Z,,2017-12-12T08:46:38.540Z
5a2cd74cf8e3097a2fa16451,5810a31e53358eb35bae9d8d,2017-12-12,08:47:15.405Z,,2017-12-12T08:47:15.405Z
5a2cd74cf8e3097a2fa16451,5810a31e53358eb35bae9d8d,2017-12-12,08:47:15.775Z,,2017-12-12T08:47:15.776Z
5a2cd74cf8e3097a2fa16451,5810a31e53358eb35bae9d8d,2017-12-12,08:47:16.053Z,,2017-12-12T08:47:16.053Z
5a2cd74cf8e3097a2fa16451,5810a31e53358eb35bae9d8d,2017-12-12,08:47:16.386Z,,2017-12-12T08:47:16.386Z
5a2cd74cf8e3097a2fa16451,5810a31e53358eb35bae9d8d,2017-12-12,09:46:51.735Z,,2017-12-12T09:46:51.736Z
5a2cd74cf8e3097a2fa16451,5810a31e53358eb35bae9d8d,2017-12-12,10:32:09.547Z,,2017-12-12T10:32:09.548Z
5a2cd74cf8e3097a2fa16451,5810a31e53358eb35bae9d8d,2017-12-12,11:16:33.994Z,,2017-12-12T11:16:33.995Z
5a2cd74cf8e3097a2fa16451,5810a31e53358eb35bae9d8d,2017-12-12,11:32:43.844Z,,2017-12-12T11:32:43.844Z
5a2cd74cf8e3097a2fa16451,5810a31e53358eb35bae9d8d,2017-12-12,12:40:21.680Z,,2017-12-12T12:40:21.680Z
5a2cd74cf8e3097a2fa16451,5810a31e53358eb35bae9d8d,2017-12-12,12:46:56.654Z,,2017-12-12T12:46:56.654Z
5a2cd74cf8e3097a2fa16451,5810a31e53358eb35bae9d8d,2017-12-13,02:59:30.867Z,,2017-12-13T02:59:30.868Z
5a2cd74cf8e3097a2fa16451,5810a31e53358eb35bae9d8d,2017-12-13,04:06:27.667Z,,2017-12-13T04:06:27.669Z
5a2cd74cf8e3097a2fa16451,5810a31e53358eb35bae9d8d,2017-12-13,04:37:13.220Z,,2017-12-13T04:37:13.220Z
5a2cd74cf8e3097a2fa16451,5810a31e53358eb35bae9d8d,2017-12-13,05:30:00.101Z,,2017-12-13T05:30:00.101Z
5a2cd74cf8e3097a2fa16451,5810a31e53358eb35bae9d8d,2017-12-13,05:44:14.742Z,,2017-12-13T05:44:14.744Z
5a2cd74cf8e3097a2fa16451,5810a31e53358eb35bae9d8d,2017-12-13,06:05:13.972Z,,2017-12-13T06:05:13.974Z
5a2cd74cf8e3097a2fa16451,5810a31e53358eb35bae9d8d,2017-12-13,06:09:28.164Z,,2017-12-13T06:09:28.164Z
5a2cd74cf8e3097a2fa16451,5810a31e53358eb35bae9d8d,2017-12-13,08:06:16.113Z,,2017-12-13T08:06:16.114Z
5a2cd74cf8e3097a2fa16451,5810a31e53358eb35bae9d8d,2017-12-13,08:40:47.403Z,,2017-12-13T08:40:47.404Z
5a2cd74cf8e3097a2fa16451,5810a31e53358eb35bae9d8d,2017-12-13,12:20:35.669Z,,2017-12-13T12:20:35.669Z
5a2cd74cf8e3097a2fa16451,5810a31e53358eb35bae9d8d,2017-12-13,12:20:39.416Z,,2017-12-13T12:20:39.417Z
5a2cd74cf8e3097a2fa16451,5810a31e53358eb35bae9d8d,2017-12-13,12:20:57.693Z,,2017-12-13T12:20:57.693Z
5a2cd74cf8e3097a2fa16451,5810a31e53358eb35bae9d8d,2017-12-13,12:43:02.641Z,,2017-12-13T12:43:02.641Z
5a2cd74cf8e3097a2fa16451,5810a31e53358eb35bae9d8d,2017-12-13,13:07:03.277Z,,2017-12-13T13:07:03.277Z
5a2cd74cf8e3097a2fa16451,5810a31e53358eb35bae9d8d,2017-12-13,13:07:04.254Z,,2017-12-13T13:07:04.254Z
